date,160119.OF,000545.OF,100056.OF,519983.OF,000143.OF,650001.OF
2014/7/18,1.0532,1.042,1.051,0.969,1.054,1.0143
2014/7/21,1.05,1.042,1.048,0.965,1.055,1.0124
2014/7/22,1.0632,1.048,1.068,0.974,1.056,1.0127
2014/7/23,1.0566,1.033,1.054,0.969,1.056,1.013
2014/7/24,1.056,1.032,1.048,0.969,1.056,1.0141
2014/7/25,1.0646,1.032,1.052,0.977,1.0581,1.0161
2014/7/28,1.084,1.04,1.063,0.992,1.0591,1.018
2014/7/29,1.094,1.052,1.08,0.996,1.0591,1.0186
2014/7/30,1.096,1.055,1.089,1.003,1.0591,1.0184
2014/7/31,1.1063,1.052,1.086,1.011,1.0602,1.0199
2014/8/1,1.0947,1.043,1.065,1.002,1.0591,1.0224
2014/8/4,1.1117,1.048,1.071,1.017,1.0602,1.0244
2014/8/5,1.1169,1.057,1.089,1.021,1.0602,1.0229
2014/8/6,1.124,1.058,1.097,1.024,1.0581,1.0243
2014/8/7,1.1135,1.053,1.092,1.014,1.0623,1.0247
2014/8/8,1.1198,1.058,1.109,1.023,1.0633,1.0284
2014/8/11,1.136,1.065,1.12,1.036,1.0644,1.0305
2014/8/12,1.1415,1.073,1.117,1.038,1.0644,1.0317
2014/8/13,1.1421,1.07,1.111,1.04,1.0654,1.0322
2014/8/14,1.135,1.066,1.109,1.035,1.0654,1.0331
2014/8/15,1.1475,1.078,1.111,1.048,1.0665,1.0341
2014/8/18,1.1623,1.095,1.138,1.061,1.0675,1.0349
2014/8/19,1.1656,1.092,1.143,1.069,1.0686,1.0356
2014/8/20,1.1657,1.091,1.128,1.074,1.0686,1.0348
2014/8/21,1.1655,1.095,1.14,1.074,1.0686,1.0348
2014/8/22,1.172,1.104,1.148,1.081,1.0707,1.0341
2014/8/25,1.1633,1.095,1.146,1.074,1.0707,1.0341
2014/8/26,1.1437,1.079,1.124,1.054,1.0717,1.0348
2014/8/27,1.1471,1.084,1.132,1.062,1.0717,1.0355
2014/8/28,1.1373,1.077,1.126,1.054,1.0728,1.0354
2014/8/29,1.1487,1.091,1.134,1.065,1.0738,1.0367
2014/9/1,1.1682,1.108,1.155,1.081,1.0738,1.0402
2014/9/2,1.185,1.115,1.16,1.095,1.0749,1.0439
2014/9/3,1.1931,1.123,1.177,1.102,1.0749,1.045
2014/9/4,1.2028,1.13,1.188,1.117,1.0749,1.046
2014/9/5,1.2073,1.131,1.181,1.127,1.0759,1.047
2014/9/9,1.2158,1.132,1.18,1.135,1.0759,1.0468
2014/9/10,1.2179,1.137,1.183,1.146,1.077,1.046
2014/9/11,1.2167,1.132,1.186,1.148,1.077,1.0463
2014/9/12,1.2294,1.142,1.19,1.165,1.077,1.0471
2014/9/15,1.2416,1.152,1.199,1.183,1.078,1.0466
2014/9/16,1.2017,1.14,1.161,1.15,1.078,1.0449
2014/9/17,1.2119,1.145,1.161,1.169,1.078,1.0447
2014/9/18,1.22,1.15,1.167,1.18,1.078,1.0469
2014/9/19,1.2298,1.165,1.184,1.193,1.0801,1.0479
2014/9/22,1.214,1.161,1.17,1.185,1.0791,1.0478
2014/9/23,1.2287,1.183,1.177,1.205,1.0801,1.0494
2014/9/24,1.2438,1.203,1.185,1.219,1.0812,1.0506
2014/9/25,1.2439,1.203,1.184,1.219,1.0822,1.0499
2014/9/26,1.2482,1.203,1.191,1.227,1.0822,1.0517
2014/9/29,1.2599,1.214,1.205,1.24,1.0822,1.0536
2014/9/30,1.2695,1.226,1.22,1.249,1.0822,1.0556
2014/10/8,1.2885,1.238,1.238,1.255,1.0833,1.0576
2014/10/9,1.2911,1.231,1.251,1.258,1.0843,1.0589
2014/10/10,1.2856,1.224,1.238,1.252,1.0833,1.0592
2014/10/13,1.2857,1.231,1.233,1.257,1.0833,1.0591
2014/10/14,1.2817,1.237,1.222,1.256,1.0843,1.0596
2014/10/15,1.287,1.245,1.227,1.264,1.0854,1.0622
2014/10/16,1.267,1.24,1.221,1.25,1.0864,1.065
2014/10/17,1.2558,1.23,1.211,1.232,1.0875,1.0688
2014/10/20,1.2726,1.249,1.231,1.249,1.0917,1.0697
2014/10/21,1.2614,1.252,1.221,1.243,1.0927,1.0723
2014/10/22,1.2471,1.248,1.211,1.23,1.0927,1.0733
2014/10/23,1.2297,1.236,1.188,1.211,1.0938,1.0726
2014/10/24,1.2345,1.236,1.192,1.212,1.0938,1.0735
2014/10/27,1.2432,1.251,1.212,1.225,1.0948,1.0746
2014/10/28,1.2715,1.278,1.244,1.253,1.0969,1.0766
2014/10/29,1.2879,1.299,1.255,1.267,1.098,1.0798
2014/10/30,1.2881,1.292,1.248,1.27,1.098,1.0804
2014/10/31,1.2866,1.283,1.245,1.273,1.099,1.0814
2014/11/3,1.297,1.292,1.249,1.286,1.1011,1.081
2014/11/4,1.2907,1.282,1.216,1.281,1.1032,1.0828
2014/11/5,1.2888,1.279,1.228,1.282,1.1053,1.0834
2014/11/6,1.2961,1.305,1.25,1.289,1.1116,1.0842
2014/11/7,1.2844,1.285,1.257,1.281,1.1169,1.0846
2014/11/10,1.2975,1.29,1.265,1.285,1.1221,1.0847
2014/11/11,1.2606,1.25,1.23,1.246,1.1253,1.0846
2014/11/12,1.2814,1.269,1.259,1.264,1.1253,1.0849
2014/11/13,1.2704,1.229,1.25,1.255,1.1253,1.0833
2014/11/14,1.2674,1.22,1.261,1.25,1.1242,1.0826
2014/11/17,1.2794,1.241,1.286,1.26,1.1242,1.0829
2014/11/18,1.2818,1.242,1.29,1.264,1.1221,1.0829
2014/11/19,1.286,1.251,1.324,1.274,1.1221,1.0827
2014/11/20,1.2834,1.245,1.33,1.275,1.1221,1.083
2014/11/21,1.2971,1.26,1.344,1.291,1.1232,1.0816
2014/11/24,1.3176,1.268,1.35,1.303,1.1253,1.0846
2014/11/25,1.3367,1.287,1.365,1.323,1.1274,1.0841
2014/11/26,1.343,1.289,1.374,1.335,1.1284,1.0877
2014/11/27,1.3522,1.3,1.375,1.348,1.1284,1.0895
2014/11/28,1.3507,1.317,1.379,1.352,1.1326,1.0898
2014/12/1,1.3415,1.309,1.373,1.332,1.1337,1.0904
2014/12/2,1.3586,1.319,1.367,1.354,1.1368,1.0902
2014/12/3,1.3739,1.321,1.357,1.364,1.1368,1.0901
2014/12/4,1.4019,1.322,1.4,1.389,1.1389,1.0879
2014/12/5,1.3725,1.29,1.37,1.354,1.1389,1.0851
2014/12/8,1.3922,1.251,1.337,1.367,1.1368,1.0847
2014/12/9,1.3377,1.202,1.265,1.295,1.1263,1.0709
2014/12/10,1.3822,1.227,1.291,1.334,1.1221,1.0783
2014/12/11,1.4018,1.237,1.295,1.342,1.1211,1.0786
2014/12/12,1.4104,1.262,1.342,1.347,1.1232,1.075
2014/12/15,1.4315,1.29,1.403,1.366,1.1211,1.0743
2014/12/16,1.4365,1.284,1.392,1.373,1.1232,1.0676
2014/12/17,1.4242,1.267,1.37,1.362,1.1242,1.065
2014/12/18,1.4242,1.263,1.355,1.361,1.1263,1.066
2014/12/19,1.4161,1.237,1.31,1.366,1.1274,1.0709
2014/12/22,1.363,1.161,1.221,1.329,1.1326,1.0762
2014/12/23,1.3357,1.148,1.192,1.287,1.1284,1.0769
2014/12/24,1.3525,1.175,1.224,1.275,1.1263,1.0792
2014/12/25,1.3775,1.186,1.24,1.309,1.1295,1.0824
2014/12/26,1.3917,1.197,1.248,1.337,1.1326,1.086
2014/12/29,1.378,1.156,1.184,1.338,1.1347,1.0834
2014/12/30,1.3551,1.141,1.158,1.321,1.1347,1.0849
2014/12/31,1.3667,1.151,1.164,1.34,1.1368,1.0886
2015/1/5,1.3897,1.152,1.145,1.379,1.1431,1.0896
2015/1/6,1.4051,1.185,1.209,1.378,1.1442,1.0881
2015/1/7,1.4073,1.176,1.208,1.378,1.1494,1.0894
2015/1/8,1.3964,1.184,1.244,1.341,1.1473,1.0896
2015/1/9,1.3878,1.202,1.249,1.331,1.1452,1.0878
2015/1/12,1.3693,1.206,1.295,1.305,1.1431,1.089
2015/1/13,1.3868,1.221,1.337,1.309,1.1452,1.0905
2015/1/14,1.3808,1.216,1.325,1.3,1.1463,1.0922
2015/1/15,1.3976,1.194,1.315,1.326,1.1473,1.0934
2015/1/16,1.415,1.236,1.387,1.334,1.1515,1.097
2015/1/19,1.3572,1.232,1.397,1.264,1.1452,1.0967
2015/1/20,1.4037,1.292,1.456,1.292,1.1463,1.0991
2015/1/21,1.4378,1.301,1.459,1.324,1.1515,1.1006
2015/1/22,1.4571,1.325,1.472,1.337,1.1547,1.1016
2015/1/23,1.4439,1.301,1.417,1.331,1.1568,1.1034
2015/1/26,1.475,1.337,1.486,1.355,1.1568,1.1035
2015/1/27,1.4794,1.352,1.524,1.355,1.1568,1.1044
2015/1/28,1.472,1.339,1.511,1.346,1.1536,1.1042
2015/1/29,1.462,1.319,1.524,1.336,1.1526,1.1044
2015/1/30,1.4453,1.303,1.475,1.325,1.1505,1.1043
2015/2/2,1.4398,1.315,1.516,1.318,1.1463,1.1042
2015/2/3,1.4639,1.345,1.581,1.336,1.1473,1.1032
2015/2/4,1.4582,1.358,1.599,1.325,1.1484,1.1042
2015/2/5,1.4513,1.368,1.624,1.322,1.1484,1.105
2015/2/6,1.4226,1.34,1.578,1.3,1.1452,1.1054
2015/2/9,1.4158,1.333,1.555,1.298,1.1463,1.105
2015/2/10,1.4342,1.357,1.595,1.314,1.1484,1.1051
2015/2/11,1.4492,1.391,1.632,1.327,1.1484,1.1056
2015/2/12,1.4589,1.396,1.621,1.335,1.1484,1.106
2015/2/13,1.4806,1.447,1.666,1.359,1.1505,1.1076
2015/2/16,1.5052,1.502,1.727,1.376,1.1536,1.1085
2015/2/17,1.5154,1.519,1.767,1.384,1.1547,1.1106
2015/2/25,1.5142,1.496,1.704,1.384,1.1557,1.1127
2015/2/26,1.5295,1.486,1.689,1.4,1.1589,1.1124
2015/2/27,1.5415,1.497,1.712,1.407,1.1557,1.1103
2015/3/2,1.5711,1.524,1.751,1.434,1.1589,1.1116
2015/3/3,1.5661,1.517,1.737,1.417,1.1578,1.1121
2015/3/4,1.5888,1.54,1.754,1.439,1.1578,1.1122
2015/3/5,1.5886,1.556,1.773,1.433,1.1568,1.1124
2015/3/6,1.5702,1.498,1.715,1.412,1.1578,1.1133
2015/3/9,1.5894,1.527,1.749,1.427,1.1589,1.1144
2015/3/10,1.6049,1.555,1.801,1.434,1.1589,1.1156
2015/3/11,1.6016,1.546,1.788,1.43,1.1589,1.1163
2015/3/12,1.6009,1.53,1.758,1.431,1.1599,1.1217
2015/3/13,1.618,1.557,1.803,1.45,1.161,1.1177
2015/3/16,1.6634,1.614,1.909,1.496,1.1641,1.1203
2015/3/17,1.6881,1.615,1.943,1.511,1.1652,1.1201
2015/3/18,1.7152,1.638,1.993,1.527,1.1662,1.1219
2015/3/19,1.7287,1.65,2.025,1.529,1.1662,1.1218
2015/3/20,1.7457,1.7,2.11,1.545,1.1652,1.1222
2015/3/23,1.7858,1.759,2.216,1.587,1.1652,1.1233
2015/3/24,1.7928,1.809,2.306,1.594,1.1641,1.1225
2015/3/25,1.8121,1.841,2.306,1.609,1.162,1.1223
2015/3/26,1.7998,1.797,2.189,1.595,1.162,1.1199
2015/3/27,1.8196,1.795,2.216,1.602,1.162,1.1189
2015/3/30,1.8413,1.767,2.138,1.624,1.1652,1.1216
2015/3/31,1.8431,1.809,2.186,1.613,1.1641,1.1203
2015/4/1,1.8853,1.857,2.228,1.649,1.1652,1.119
2015/4/2,1.9182,1.896,2.247,1.675,1.1662,1.1202
2015/4/3,1.9471,1.901,2.219,1.706,1.1673,1.1207
2015/4/7,1.9922,1.947,2.241,1.749,1.1673,1.1196
2015/4/8,1.9787,1.895,2.213,1.75,1.1641,1.1194
2015/4/9,1.9636,1.928,2.253,1.746,1.162,1.1203
2015/4/10,2.0139,1.972,2.32,1.797,1.1641,1.1217
2015/4/13,2.0555,1.996,2.342,1.836,1.1673,1.1228
2015/4/14,2.0548,1.991,2.312,1.852,1.1662,1.1235
2015/4/15,1.9787,1.886,2.216,1.804,1.1652,1.1259
2015/4/16,2.0053,1.881,2.251,1.824,1.1683,1.1268
2015/4/17,2.0225,1.87,2.24,1.83,1.1725,1.1287
2015/4/20,1.9883,1.834,2.168,1.789,1.1704,1.131
2015/4/21,2.059,1.922,2.304,1.845,1.1746,1.1331
2015/4/22,2.1117,1.98,2.401,1.9,1.1809,1.1335
2015/4/23,2.1332,2.015,2.473,1.909,1.1841,1.1343
2015/4/24,2.1368,2.041,2.527,1.896,1.1841,1.1346
2015/4/27,2.1591,2.02,2.54,1.916,1.1862,1.1367
2015/4/28,2.1005,1.984,2.501,1.864,1.1841,1.1379
2015/4/29,2.141,2.071,2.605,1.893,1.1862,1.1384
2015/4/30,2.1526,2.101,2.703,1.887,1.1872,1.1391
2015/5/4,2.161,2.065,2.658,1.904,1.1872,1.139
2015/5/5,2.0869,1.996,2.588,1.846,1.183,1.1392
2015/5/6,2.0591,2.061,2.635,1.826,1.1841,1.1391
2015/5/7,2.016,2.099,2.686,1.8,1.183,1.1378
2015/5/8,2.088,2.217,2.852,1.857,1.1883,1.1388
2015/5/11,2.1745,2.35,3.03,1.917,1.1946,1.139
2015/5/12,2.2202,2.447,3.165,1.948,1.1977,1.1407
2015/5/13,2.2396,2.509,3.172,1.954,1.1998,1.1418
2015/5/14,2.2371,2.451,3.07,1.979,1.203,1.1434
2015/5/15,2.2201,2.45,3.118,1.971,1.2009,1.1448
2015/5/18,2.256,2.606,3.193,2.027,1.2009,1.1476
2015/5/19,2.3072,2.603,3.2,2.087,1.204,1.1478
2015/5/20,2.3436,2.646,3.302,2.129,1.2051,1.1471
2015/5/21,2.4262,2.693,3.482,2.215,1.2082,1.1469
2015/5/22,2.4639,2.679,3.394,2.257,1.2103,1.1482
2015/5/25,2.5262,2.629,3.321,2.305,1.2124,1.1491
2015/5/26,2.6065,2.703,3.446,2.388,1.2156,1.15
2015/5/27,2.6359,2.729,3.454,2.422,1.2166,1.15
2015/5/28,2.4846,2.648,3.327,2.293,1.2103,1.1519
2015/5/29,2.5088,2.785,3.371,2.336,1.2114,1.1541
2015/6/1,2.6336,2.935,3.492,2.459,1.2166,1.1546
2015/6/2,2.7301,2.999,3.595,2.596,1.2407,1.1558
2015/6/3,2.7526,3.027,3.663,2.637,1.2386,1.157
2015/6/4,2.7516,2.95,3.636,2.621,1.2386,1.1578
2015/6/5,2.7946,2.925,3.606,2.658,1.2407,1.1587
2015/6/8,2.767,2.787,3.436,2.611,1.2397,1.1574
2015/6/9,2.7629,2.767,3.402,2.611,1.2386,1.1573
2015/6/10,2.8123,2.858,3.495,2.663,1.2397,1.1577
2015/6/11,2.8502,2.882,3.528,2.738,1.2407,1.1571
2015/6/12,2.8977,2.906,3.539,2.801,1.2428,1.1567
2015/6/15,2.8441,2.811,3.418,2.787,1.2428,1.1568
2015/6/16,2.7337,2.759,3.328,2.675,1.2397,1.1571
2015/6/17,2.7882,2.852,3.324,2.727,1.2481,1.1569
2015/6/18,2.7011,2.704,3.312,2.662,1.2449,1.1569
2015/6/19,2.524,2.568,3.221,2.483,1.2386,1.1572
2015/6/23,2.5365,2.592,3.213,2.487,1.2449,1.1565
2015/6/24,2.5894,2.61,3.23,2.56,1.2502,1.1558
2015/6/25,2.5019,2.442,3.124,2.468,1.2491,1.1561
2015/6/26,2.2911,2.214,3.022,2.289,1.2418,1.1557
2015/6/29,2.1393,2.017,2.93,2.147,1.2376,1.1557
2015/6/30,2.2432,2.116,3.03,2.211,1.2523,1.1555
2015/7/1,2.1224,2.026,2.962,2.076,1.246,1.1555
2015/7/2,1.9828,1.902,2.862,1.941,1.2397,1.1559
2015/7/3,1.8723,1.818,2.816,1.807,1.2303,1.156
2015/7/6,1.8459,1.724,2.793,1.739,1.2292,1.1556
2015/7/7,1.7291,1.604,2.622,1.649,1.2198,1.1565
2015/7/8,1.6884,1.575,2.537,1.566,1.2124,1.1558
