date,160119.OF,000545.OF,100056.OF,519983.OF,000143.OF,650001.OF
2015/7/9,1.7637,1.653,2.624,1.624,1.2177,1.155
2015/7/10,1.8502,1.753,2.714,1.675,1.224,1.1533
2015/7/13,1.9504,1.868,2.78,1.733,1.2344,1.1546
2015/7/14,1.9823,1.912,2.762,1.763,1.2418,1.1554
2015/7/15,1.8749,1.843,2.727,1.69,1.2355,1.156
2015/7/16,1.9169,1.865,2.74,1.717,1.2386,1.1561
2015/7/17,2.0162,1.969,2.778,1.807,1.2481,1.1584
2015/7/20,2.0457,2.028,2.797,1.85,1.2512,1.1593
2015/7/21,2.0713,2.041,2.827,1.881,1.2523,1.1621
2015/7/22,2.0957,2.077,2.811,1.902,1.2544,1.1635
2015/7/23,2.157,2.139,2.836,1.968,1.2649,1.165
2015/7/24,2.1255,2.112,2.804,1.939,1.2638,1.1659
2015/7/27,1.9721,1.961,2.659,1.797,1.2491,1.1664
2015/7/28,1.9363,1.861,2.678,1.735,1.2428,1.1665
2015/7/29,2.0268,1.948,2.69,1.824,1.2533,1.168
2015/7/30,1.9732,1.873,2.648,1.784,1.247,1.1686
2015/7/31,1.9566,1.836,2.666,1.761,1.246,1.1692
2015/8/3,1.9116,1.733,2.706,1.685,1.2428,1.1693
2015/8/4,2.0096,1.842,2.721,1.777,1.2544,1.171
2015/8/5,1.9849,1.828,2.686,1.78,1.2544,1.1719
2015/8/6,1.9736,1.814,2.678,1.79,1.2575,1.1737
2015/8/7,2.0274,1.898,2.694,1.854,1.267,1.1755
2015/8/10,2.1201,2.005,2.733,1.935,1.288,1.1785
2015/8/11,2.1293,2.02,2.724,1.95,1.289,1.1776
2015/8/12,2.1061,1.984,2.695,1.929,1.2817,1.1776
2015/8/13,2.1541,2.029,2.697,1.983,1.289,1.1783
2015/8/14,2.1765,2.02,2.692,2,1.288,1.1794
2015/8/17,2.2233,1.999,2.679,2.052,1.2901,1.1812
2015/8/18,2.0653,1.855,2.626,1.902,1.2722,1.1808
2015/8/19,2.11,1.909,2.631,1.952,1.2754,1.1814
2015/8/20,2.0423,1.866,2.605,1.905,1.2722,1.1815
2015/8/21,1.9386,1.74,2.565,1.809,1.2638,1.181
2015/8/24,1.7913,1.602,2.428,1.684,1.247,1.1818
2015/8/25,1.6614,1.482,2.359,1.579,1.2334,1.1824
2015/8/26,1.6013,1.427,2.425,1.525,1.2282,1.1834
2015/8/27,1.6553,1.485,2.516,1.581,1.2365,1.1836
2015/8/28,1.7507,1.585,2.529,1.665,1.247,1.1831
2015/8/31,1.6861,1.51,2.561,1.616,1.2439,1.1839
2015/9/1,1.5839,1.412,2.611,1.53,1.2376,1.1842
2015/9/2,1.5725,1.362,2.649,1.475,1.2334,1.1847
2015/9/7,1.5823,1.388,2.55,1.502,1.2365,1.1851
2015/9/8,1.6429,1.484,2.573,1.57,1.2449,1.1857
2015/9/9,1.687,1.544,2.583,1.622,1.2523,1.1866
2015/9/10,1.6613,1.521,2.584,1.604,1.2512,1.1869
2015/9/11,1.675,1.547,2.579,1.625,1.2512,1.1866
2015/9/14,1.5675,1.418,2.598,1.523,1.2407,1.1872
2015/9/15,1.4849,1.327,2.583,1.455,1.2303,1.1862
2015/9/16,1.5799,1.43,2.601,1.545,1.2428,1.1869
2015/9/17,1.5522,1.455,2.572,1.532,1.2428,1.1875
2015/9/18,1.5714,1.496,2.566,1.562,1.247,1.188
2015/9/21,1.6248,1.594,2.563,1.613,1.2533,1.1882
2015/9/22,1.6366,1.625,2.573,1.619,1.2544,1.1873
2015/9/23,1.6189,1.658,2.547,1.609,1.2512,1.1866
2015/9/24,1.6414,1.68,2.551,1.636,1.2533,1.186
2015/9/25,1.5903,1.593,2.559,1.58,1.247,1.1857
2015/9/28,1.6177,1.686,2.552,1.616,1.2533,1.1863
2015/9/29,1.5893,1.673,2.533,1.595,1.2554,1.1868
2015/9/30,1.5943,1.671,2.55,1.599,1.2554,1.1876
2015/10/8,1.6538,1.821,2.568,1.654,1.2638,1.1884
2015/10/9,1.6772,1.815,2.579,1.684,1.267,1.1888
2015/10/12,1.7383,1.878,2.605,1.745,1.2754,1.1882
2015/10/13,1.7596,1.905,2.596,1.771,1.2775,1.1888
2015/10/14,1.7414,1.886,2.585,1.755,1.2743,1.1894
2015/10/15,1.7918,1.951,2.601,1.813,1.2785,1.189
2015/10/16,1.821,1.987,2.607,1.847,1.2796,1.1888
2015/10/19,1.8209,1.999,2.604,1.838,1.2827,1.1881
2015/10/20,1.8498,2.065,2.605,1.877,1.2869,1.1884
2015/10/21,1.7416,1.897,2.619,1.768,1.2743,1.1885
2015/10/22,1.805,1.979,2.611,1.833,1.2806,1.1895
2015/10/23,1.8478,2.017,2.626,1.891,1.2838,1.1915
2015/10/26,1.861,2.006,2.634,1.917,1.2869,1.1932
2015/10/27,1.873,2.025,2.631,1.935,1.2901,1.1953
2015/10/28,1.8292,1.969,2.622,1.902,1.2869,1.1953
2015/10/29,1.8446,1.972,2.622,1.931,1.288,1.1945
2015/10/30,1.8393,1.98,2.624,1.934,1.289,1.195
2015/11/2,1.8028,1.945,2.612,1.89,1.289,1.1945
2015/11/3,1.7996,1.947,2.604,1.904,1.2901,1.1945
2015/11/4,1.8859,2.052,2.65,1.994,1.2985,1.195
2015/11/5,1.8881,2.018,2.681,1.998,1.2974,1.1954
2015/11/6,1.9296,2.1,2.692,2.052,1.3027,1.1968
2015/11/9,1.9513,2.185,2.735,2.077,1.3048,1.1939
2015/11/10,1.9585,2.216,2.724,2.097,1.3037,1.1941
2015/11/11,1.9864,2.282,2.704,2.141,1.3048,1.1945
2015/11/12,1.9856,2.26,2.686,2.149,1.3037,1.1942
2015/11/13,1.9574,2.207,2.671,2.115,1.3006,1.1934
2015/11/16,1.9942,2.256,2.676,2.178,1.3037,1.1927
2015/11/17,1.9768,2.188,2.681,2.169,1.3016,1.1893
2015/11/18,1.9461,2.151,2.692,2.142,1.2995,1.186
2015/11/19,1.9932,2.222,2.725,2.199,1.3027,1.1877
2015/11/20,2.0147,2.259,2.754,2.245,1.3048,1.1882
2015/11/23,1.9993,2.231,2.738,2.235,1.3037,1.1879
2015/11/24,2.0126,2.278,2.777,2.268,1.3058,1.1887
2015/11/25,2.0429,2.353,2.83,2.319,1.3121,1.191
2015/11/26,2.0307,2.336,2.822,2.326,1.3142,1.1893
2015/11/27,1.9082,2.209,2.724,2.188,1.3037,1.1892
2015/11/30,1.9158,2.226,2.772,2.207,1.3069,1.1921
2015/12/1,1.9245,2.203,2.69,2.222,1.31,1.1939
2015/12/2,1.9159,2.161,2.665,2.211,1.3153,1.1947
2015/12/3,1.9559,2.229,2.744,2.268,1.3195,1.1954
2015/12/4,1.9419,2.23,2.735,2.268,1.3174,1.1963
2015/12/7,1.9633,2.253,2.796,2.31,1.3174,1.197
2015/12/8,1.9148,2.289,2.845,2.27,1.3142,1.1969
2015/12/9,1.9078,2.286,2.875,2.266,1.3153,1.1968
2015/12/10,1.9025,2.3,2.86,2.255,1.3142,1.197
2015/12/11,1.8885,2.272,2.792,2.233,1.3121,1.1957
2015/12/14,1.9256,2.293,2.798,2.276,1.3163,1.1954
2015/12/15,1.9399,2.359,2.886,2.303,1.3195,1.1957
2015/12/16,1.9475,2.377,2.902,2.327,1.3226,1.1964
2015/12/17,1.9934,2.438,3.001,2.391,1.331,1.1969
2015/12/18,1.9891,2.417,2.954,2.396,1.331,1.1985
2015/12/21,2.0113,2.423,2.941,2.417,1.3331,1.1996
2015/12/22,2.0281,2.432,2.996,2.437,1.3342,1.2004
2015/12/23,2.0077,2.377,2.896,2.415,1.331,1.1987
2015/12/24,2.0026,2.388,2.94,2.423,1.331,1.2018
2015/12/25,2.0123,2.382,2.953,2.465,1.3321,1.2022
2015/12/28,1.9661,2.326,2.96,2.421,1.33,1.2046
2015/12/29,1.9836,2.34,3.02,2.461,1.3331,1.2052
2015/12/30,1.9998,2.365,3.126,2.493,1.3373,1.2049
2015/12/31,1.9699,2.313,3.062,2.466,1.3342,1.2054
2016/1/4,1.8145,2.157,2.79,2.296,1.3184,1.2051
2016/1/5,1.7908,2.121,2.679,2.269,1.3174,1.2046
2016/1/6,1.8342,2.18,2.767,2.319,1.3226,1.2042
2016/1/7,1.6842,2.033,2.519,2.151,1.3069,1.2063
2016/1/8,1.7109,2.036,2.469,2.164,1.3111,1.2076
2016/1/11,1.5996,1.927,2.266,2.037,1.2995,1.2084
2016/1/12,1.6017,1.968,2.273,2.033,1.31,1.2073
2016/1/13,1.5481,1.889,2.161,1.978,1.3069,1.2102
2016/1/14,1.5986,1.975,2.292,2.033,1.3132,1.2092
2016/1/15,1.5406,1.942,2.233,1.977,1.3058,1.2104
2016/1/18,1.5624,1.988,2.308,2.011,1.309,1.2104
2016/1/19,1.6171,2.05,2.403,2.066,1.3153,1.2108
2016/1/20,1.6023,2.026,2.379,2.058,1.3142,1.2097
2016/1/21,1.542,1.963,2.264,2,1.3048,1.2137
2016/1/22,1.5662,1.976,2.3,2.0341,1.3058,1.2142
2016/1/25,1.5816,1.982,2.315,2.0612,1.3079,1.2136
2016/1/26,1.4678,1.851,2.127,1.9329,1.2943,1.2119
2016/1/27,1.4493,1.828,2.064,1.9106,1.2911,1.2118
2016/1/28,1.3882,1.724,1.915,1.8388,1.2827,1.2118
2016/1/29,1.4385,1.791,1.993,1.8918,1.2901,1.212
2016/2/1,1.4207,1.773,1.962,1.88,1.2911,1.2332
2016/2/2,1.4686,1.856,2.08,1.9353,1.2985,1.2343
2016/2/3,1.4745,1.865,2.095,1.9518,1.3006,1.2344
2016/2/4,1.5028,1.917,2.141,1.9882,1.3037,1.236
2016/2/5,1.4887,1.892,2.095,1.9741,1.3027,1.2371
2016/2/15,1.4896,1.912,2.095,1.9765,1.3037,1.2379
2016/2/16,1.549,1.991,2.22,2.0388,1.31,1.2377
2016/2/17,1.5671,2.008,2.248,2.0612,1.3111,1.2378
2016/2/18,1.5634,1.991,2.204,2.0553,1.31,1.238
2016/2/19,1.5687,1.996,2.223,2.0741,1.3111,1.2384
2016/2/22,1.5999,2.022,2.238,2.1129,1.3163,1.2387
2016/2/23,1.5917,2.004,2.203,2.1059,1.3153,1.2388
2016/2/24,1.6016,1.967,2.155,2.1176,1.3153,1.2387
2016/2/25,1.4804,1.833,2.007,1.9753,1.2985,1.2382
2016/2/26,1.4863,1.801,1.987,1.9788,1.2985,1.2385
2016/2/29,1.411,1.689,1.878,1.8812,1.288,1.2386
2016/3/1,1.4424,1.727,1.883,1.9165,1.2932,1.2397
2016/3/2,1.513,1.803,1.928,1.9941,1.3037,1.2394
2016/3/3,1.519,1.795,1.932,2.0059,1.3037,1.2394
2016/3/4,1.4799,1.699,1.928,1.9659,1.2974,1.2401
2016/3/7,1.5131,1.74,1.935,2.0141,1.3006,1.2408
2016/3/8,1.516,1.773,1.943,2.0388,1.3027,1.2412
2016/3/9,1.4788,1.744,1.937,1.9953,1.3006,1.2417
2016/3/10,1.4564,1.72,1.921,1.9671,1.2964,1.2421
2016/3/11,1.4546,1.708,1.923,1.9706,1.2964,1.2424
2016/3/14,1.5015,1.816,1.943,2.0259,1.3037,1.2435
2016/3/15,1.4894,1.783,1.951,2.0188,1.3037,1.2449
2016/3/16,1.4702,1.767,1.951,2.0141,1.3016,1.245
2016/3/17,1.5167,1.864,1.981,2.0682,1.309,1.2458
2016/3/18,1.5675,1.944,1.997,2.1188,1.3205,1.246
2016/3/21,1.6053,1.999,2.005,2.16,1.3289,1.2461
2016/3/22,1.5993,2.001,1.993,2.1647,1.3289,1.2463
2016/3/23,1.6101,2.046,1.993,2.1824,1.33,1.2462
2016/3/24,1.585,2.022,1.989,2.1588,1.3268,1.2463
2016/3/25,1.5996,2.012,1.989,2.1788,1.331,1.2464
2016/3/28,1.5899,2.003,1.983,2.1718,1.3279,1.2466
2016/3/29,1.56,1.943,1.972,2.1365,1.3216,1.2463
2016/3/30,1.6147,2.036,2.006,2.2047,1.331,1.2463
2016/3/31,1.6195,2.059,1.997,2.2153,1.3289,1.2467
2016/4/1,1.6115,2.009,1.992,2.2118,1.3276,1.2468
2016/4/5,1.6529,2.077,2.009,2.2635,1.3356,1.2476
2016/4/6,1.6621,2.113,2.006,2.2741,1.3373,1.2474
2016/4/7,1.6385,2.059,1.992,2.2424,1.335,1.2476
2016/4/8,1.6238,2.035,1.985,2.2365,1.3329,1.2474
2016/4/11,1.6581,2.087,2.007,2.2812,1.3381,1.2476
2016/4/12,1.6452,2.046,2.002,2.2788,1.3361,1.2472
2016/4/13,1.6688,2.081,2.007,2.3071,1.3395,1.2467
2016/4/14,1.683,2.102,2.017,2.3424,1.3417,1.2457
2016/4/15,1.6783,2.092,2.016,2.3576,1.3404,1.2458
2016/4/18,1.6524,2.052,2.009,2.3329,1.3384,1.2461
2016/4/19,1.6589,2.064,2.013,2.3424,1.3373,1.2462
2016/4/20,1.5862,1.961,1.986,2.2624,1.3248,1.2455
2016/4/21,1.5741,1.927,1.985,2.2518,1.3213,1.2447
2016/4/22,1.5838,1.949,2.006,2.2659,1.3236,1.2439
2016/4/25,1.5759,1.927,2.001,2.2647,1.3225,1.2443
2016/4/26,1.5931,1.956,2.002,2.2882,1.3252,1.2437
2016/4/27,1.5859,1.936,2.011,2.2847,1.3257,1.2433
2016/4/28,1.5792,1.936,2.019,2.2835,1.3248,1.2441
2016/4/29,1.5786,1.91,2.021,2.2859,1.3254,1.2443
2016/5/3,1.6242,1.973,2.057,2.3388,1.3322,1.2454
2016/5/4,1.6253,1.979,2.043,2.3353,1.3331,1.2461
2016/5/5,1.6338,1.993,2.043,2.3471,1.3342,1.2463
2016/5/6,1.5739,1.908,1.997,2.2682,1.3252,1.2463
2016/5/9,1.5189,1.803,1.991,2.1906,1.3195,1.2474
2016/5/10,1.5183,1.797,1.999,2.1882,1.3188,1.248
2016/5/11,1.5154,1.764,2.002,2.1741,1.3162,1.2483
2016/5/12,1.5162,1.769,2.011,2.1694,1.3178,1.2485
2016/5/13,1.5132,1.756,2.008,2.1635,1.3188,1.2486
2016/5/16,1.5379,1.787,2.02,2.1941,1.3235,1.2487
2016/5/17,1.5332,1.813,2.014,2.1918,1.323,1.2488
2016/5/18,1.4927,1.747,1.994,2.1412,1.318,1.2486
2016/5/19,1.503,1.766,2.004,2.1494,1.3186,1.2487
2016/5/20,1.5201,1.787,2.01,2.1706,1.3207,1.2491
2016/5/23,1.5394,1.832,2.027,2.2035,1.3254,1.2494
2016/5/24,1.5228,1.811,2.006,2.1929,1.3223,1.2496
2016/5/25,1.516,1.806,1.986,2.1953,1.3229,1.2496
2016/5/26,1.5231,1.817,1.998,2.2071,1.3238,1.2497
2016/5/27,1.5227,1.798,1.99,2.2106,1.3233,1.2496
2016/5/30,1.5167,1.78,2.002,2.2071,1.3243,1.2504
2016/5/31,1.5775,1.871,2.046,2.2788,1.334,1.2503
2016/6/1,1.5842,1.892,2.051,2.2929,1.3359,1.2508
2016/6/2,1.5939,1.911,2.053,2.3106,1.3377,1.2509
2016/6/3,1.5998,1.947,2.088,2.3165,1.3383,1.251
2016/6/6,1.6041,1.94,2.097,2.3212,1.3407,1.2514
2016/6/7,1.6029,1.929,2.088,2.3247,1.3415,1.2517
2016/6/8,1.599,1.92,2.083,2.3306,1.3412,1.252
2016/6/13,1.53,1.819,2.043,2.2365,1.3312,1.2524
2016/6/14,1.5335,1.816,2.046,2.2435,1.3328,1.2525
2016/6/15,1.583,1.863,2.086,2.3094,1.3424,1.2526
2016/6/16,1.5779,1.839,2.057,2.3165,1.3436,1.2528
2016/6/17,1.5866,1.855,2.063,2.3353,1.3456,1.2528
2016/6/20,1.5925,1.855,2.067,2.3494,1.348,1.2536
2016/6/21,1.5754,1.842,2.053,2.3271,1.3456,1.2534
2016/6/22,1.5985,1.882,2.059,2.3694,1.3487,1.2536
2016/6/23,1.5911,1.898,2.055,2.3682,1.3478,1.2539
2016/6/24,1.5721,1.895,2.057,2.3518,1.3448,1.2544
2016/6/27,1.608,1.945,2.104,2.4118,1.351,1.2547
2016/6/28,1.6243,1.985,2.104,2.44,1.3531,1.255
