code,establish_date
519087.OF,2005-09-16
519089.OF,2008-07-25
519093.OF,2010-02-03
519095.OF,2010-07-21
519097.OF,2011-01-28
519099.OF,2011-07-13
519110.OF,2008-04-16
519115.OF,2009-12-03
519150.OF,2012-06-13
519158.OF,2013-09-11
519181.OF,2006-11-30
519185.OF,2009-05-18
519664.OF,2014-05-29
519665.OF,2014-05-29
519668.OF,2008-05-26
519670.OF,2009-04-24
519672.OF,2010-07-16
519674.OF,2010-12-29
519678.OF,2011-07-29
519679.OF,2012-09-21
519688.OF,2005-09-29
519692.OF,2006-10-23
519694.OF,2007-08-08
519698.OF,2009-04-10
519702.OF,2010-12-22
519704.OF,2011-06-22
519712.OF,2012-08-03
519727.OF,2013-06-05
519736.OF,2014-05-09
519915.OF,2014-12-12
519979.OF,2011-10-20
519983.OF,2010-11-18
519987.OF,2009-07-30
519993.OF,2006-11-09
519994.OF,2006-04-30
519996.OF,2005-01-17
530001.OF,2005-12-01
530003.OF,2006-09-08
530006.OF,2008-11-25
530011.OF,2010-11-16
530019.OF,2012-08-14
540002.OF,2006-09-27
540004.OF,2008-07-23
550001.OF,2006-04-29
550002.OF,2006-11-27
550003.OF,2008-06-04
550008.OF,2009-08-26
550009.OF,2010-02-10
560002.OF,2006-11-21
560003.OF,2007-07-11
570001.OF,2007-04-19
570005.OF,2009-09-22
570006.OF,2010-06-28
570007.OF,2011-05-05
570008.OF,2012-03-21
580001.OF,2005-02-01
580002.OF,2006-12-15
580003.OF,2008-04-23
580006.OF,2009-12-30
580007.OF,2010-06-29
580008.OF,2011-09-28
582003.OF,2015-08-19
590001.OF,2006-09-28
590002.OF,2007-08-17
590005.OF,2010-05-19
590008.OF,2012-06-12
610001.OF,2007-03-08
610004.OF,2009-12-01
610005.OF,2010-07-28
610006.OF,2011-06-13
610007.OF,2012-09-04
620001.OF,2007-08-15
620004.OF,2009-09-11
620005.OF,2010-02-11
620006.OF,2010-09-15
620008.OF,2012-07-31
630001.OF,2007-05-15
630002.OF,2008-09-23
630006.OF,2010-06-18
630010.OF,2011-05-31
630011.OF,2012-05-31
660001.OF,2008-08-04
660003.OF,2009-04-08
660004.OF,2009-09-29
660005.OF,2010-03-25
660006.OF,2010-09-01
660010.OF,2011-09-06
660012.OF,2012-04-24
660015.OF,2012-11-14
671010.OF,2011-01-25
688888.OF,2011-05-17
690003.OF,2010-02-03
690004.OF,2010-06-29
690005.OF,2011-01-28
690007.OF,2011-11-22
700001.OF,2011-09-20
700003.OF,2012-05-29
710001.OF,2011-09-21
730001.OF,2011-12-26
730002.OF,2012-11-20
740001.OF,2012-03-09
960001.OF,2015-07-02
960006.OF,2015-07-24
960007.OF,2015-07-24
960008.OF,2015-10-16
960010.OF,2015-08-19
960011.OF,2015-09-24
960012.OF,2015-09-24
960013.OF,2015-11-25
960014.OF,2015-11-25
960015.OF,2015-11-25
960016.OF,2015-11-17
960018.OF,2015-07-22
960019.OF,2015-12-31
960020.OF,2015-10-14
960023.OF,2015-08-19
F000172.OF,2015-12-25
F050004.OF,2016-01-26
F050010.OF,2016-01-26
F050026.OF,2016-01-26
F070001.OF,2016-01-07
F070013.OF,2015-12-04
J460002.OF,2015-10-14
J519110.OF,2015-11-02
000749.OF,2014-08-27
001495.OF,2015-07-03
002001.OF,2003-09-05
002021.OF,2006-08-14
002162.OF,2015-11-20
002440.OF,
040001.OF,2001-09-21
040004.OF,2004-08-24
050001.OF,2002-10-09
050007.OF,2006-05-31
050201.OF,2006-09-27
090001.OF,2002-11-11
100016.OF,2002-08-16
110001.OF,2002-08-23
121002.OF,2004-04-29
161605.OF,2003-09-30
180001.OF,2002-11-13
202002.OF,2006-07-25
270001.OF,2003-12-03
373010.OF,2006-04-26
519654.OF,2015-04-09
519732.OF,2013-09-04
960002.OF,2015-07-02
960005.OF,2015-07-24
000029.OF,2013-04-12
000056.OF,2013-06-14
000060.OF,2013-06-26
000063.OF,2013-05-10
000065.OF,2013-05-07
000073.OF,2013-05-15
000136.OF,2013-06-07
000165.OF,2013-09-27
000167.OF,2013-09-11
000178.OF,2013-11-08
000190.OF,2015-07-17
000199.OF,2015-01-16
000214.OF,2013-12-11
000215.OF,2013-09-11
000219.OF,2013-07-29
000241.OF,2013-08-01
000242.OF,2013-08-07
000259.OF,2013-08-21
000264.OF,2013-07-15
000273.OF,2013-09-11
000278.OF,2013-08-30
000279.OF,2013-09-17
000314.OF,2013-11-06
000328.OF,2013-11-25
000336.OF,2013-11-05
000362.OF,2013-12-17
000363.OF,2013-12-17
000390.OF,2013-12-11
000398.OF,2014-08-07
000404.OF,2013-11-28
000408.OF,2013-12-12
000410.OF,2013-12-13
000417.OF,2014-03-04
000423.OF,2013-12-19
000431.OF,2014-01-28
000433.OF,2013-12-31
000452.OF,2014-01-23
000458.OF,2014-03-05
000462.OF,2015-04-10
000477.OF,2014-07-31
000480.OF,2014-01-28
000496.OF,2014-05-07
000511.OF,2014-02-17
000512.OF,2014-05-19
000520.OF,2014-05-06
000523.OF,2014-02-25
000526.OF,2014-03-04
000527.OF,2014-02-26
000529.OF,2014-03-12
000530.OF,2014-03-20
000531.OF,2014-03-19
000534.OF,2014-03-25
000535.OF,2014-03-11
000538.OF,2014-03-13
000541.OF,2014-03-18
000545.OF,2014-04-23
000554.OF,2014-06-09
000556.OF,2014-03-11
000557.OF,2014-03-11
000566.OF,2014-05-06
000567.OF,2014-03-21
000572.OF,2014-03-31
000573.OF,2014-03-14
000574.OF,2014-04-10
000584.OF,2014-04-16
000587.OF,2014-05-14
000590.OF,2014-04-01
000595.OF,2014-04-04
000597.OF,2014-05-26
000598.OF,2014-09-10
000603.OF,2015-02-13
000609.OF,2014-06-05
000619.OF,2014-06-06
000634.OF,2014-04-30
000652.OF,2014-06-03
000654.OF,2014-07-24
000663.OF,2014-06-24
000664.OF,2014-06-13
000679.OF,2014-08-12
000684.OF,2014-11-25
000689.OF,2014-08-20
000690.OF,2014-07-31
000698.OF,2014-08-13
000706.OF,2014-07-24
000708.OF,2015-01-23
000714.OF,2014-09-15
000717.OF,2015-01-16
000727.OF,2014-12-25
000739.OF,2015-01-29
000742.OF,2014-09-16
000743.OF,2014-09-18
000747.OF,2014-09-04
000755.OF,2014-09-11
000757.OF,2014-10-31
000763.OF,2014-09-19
000767.OF,2015-02-04
000772.OF,2014-11-06
000788.OF,2014-09-29
000794.OF,2014-09-26
000796.OF,2014-09-26
000805.OF,2014-09-30
000822.OF,2014-11-14
000823.OF,2014-11-13
000824.OF,2014-11-19
000825.OF,2014-11-19
000841.OF,2014-11-26
000843.OF,2014-11-26
000845.OF,2014-12-03
000849.OF,2014-11-26
000850.OF,2014-11-26
000870.OF,2014-12-10
000877.OF,2014-12-17
000878.OF,2014-12-17
000879.OF,2014-12-17
000880.OF,2014-12-12
000886.OF,2014-12-24
000892.OF,2015-07-23
000904.OF,2014-12-12
000924.OF,2014-12-17
000926.OF,2015-02-03
000928.OF,2014-12-16
000935.OF,2014-12-30
000936.OF,2015-01-26
000939.OF,2014-12-23
000947.OF,2015-02-10
000953.OF,2015-04-22
000954.OF,2015-04-22
000963.OF,2015-01-23
000966.OF,2015-02-11
000967.OF,2015-02-06
000969.OF,2015-02-06
000970.OF,2015-01-21
000972.OF,2015-04-10
000976.OF,2015-02-17
000977.OF,2015-04-08
000986.OF,2015-02-10
000993.OF,2015-03-27
000994.OF,2015-02-03
000995.OF,2015-02-03
001004.OF,2015-05-29
001005.OF,2015-02-11
001007.OF,2015-01-26
001017.OF,2015-02-13
001018.OF,2015-02-12
001029.OF,2015-02-04
001030.OF,2015-03-17
001037.OF,2015-03-31
001053.OF,2015-03-24
001056.OF,2015-03-27
001060.OF,2015-03-27
001067.OF,2015-02-25
001068.OF,2015-04-15
001069.OF,2015-05-20
001071.OF,2015-05-15
001074.OF,2015-03-24
001075.OF,2015-04-29
001102.OF,2015-05-08
001103.OF,2015-03-27
001106.OF,2015-03-17
001110.OF,2015-03-16
001111.OF,2015-03-16
001112.OF,2015-04-07
001117.OF,2015-03-18
001119.OF,2015-03-20
001120.OF,2015-04-15
001121.OF,2015-04-15
001122.OF,2015-03-12
001123.OF,2015-03-12
001125.OF,2015-04-28
001127.OF,2015-04-10
001128.OF,2015-04-13
001135.OF,2015-05-06
001136.OF,2015-03-24
001139.OF,2015-03-24
001140.OF,2015-04-17
001141.OF,2015-03-30
001142.OF,2015-03-30
001143.OF,2015-04-09
001146.OF,2015-03-31
001147.OF,2015-03-31
001148.OF,2015-03-31
001150.OF,2015-04-16
001152.OF,2015-05-20
001154.OF,2015-05-05
001156.OF,2015-05-07
001157.OF,2015-04-08
001159.OF,2015-03-27
001164.OF,2015-04-07
001165.OF,2015-04-07
001168.OF,2015-04-16
001169.OF,2015-04-22
001170.OF,2015-04-21
001172.OF,2015-04-14
001173.OF,2015-04-13
001174.OF,2015-04-13
001179.OF,2015-04-29
001181.OF,2015-05-19
001183.OF,2015-04-17
001184.OF,2015-04-30
001185.OF,2015-04-15
001190.OF,2015-04-14
001191.OF,2015-04-14
001192.OF,2015-04-23
001194.OF,2015-04-10
001196.OF,2015-04-21
001197.OF,2015-04-21
001198.OF,2015-04-21
001201.OF,2015-04-28
001202.OF,2015-04-17
001205.OF,2015-04-17
001206.OF,2015-04-15
001207.OF,2015-04-15
001209.OF,2015-04-29
001210.OF,2015-05-29
001215.OF,2015-05-14
001216.OF,2015-04-17
001217.OF,2015-04-17
001218.OF,2015-05-19
001219.OF,2015-06-02
001220.OF,2015-05-27
001222.OF,2015-05-19
001224.OF,2015-11-11
001225.OF,2015-05-27
001226.OF,2015-05-05
001227.OF,2015-05-14
001228.OF,2015-04-28
001229.OF,2015-04-27
001231.OF,2015-04-24
001239.OF,2015-06-04
001244.OF,2015-06-03
001247.OF,2015-04-28
001249.OF,2015-04-30
001250.OF,2015-04-29
001252.OF,2015-05-13
001253.OF,2015-05-13
001254.OF,2015-05-14
001255.OF,2015-06-09
001259.OF,2015-05-21
001261.OF,2015-05-04
001262.OF,2015-04-29
001263.OF,2015-05-04
001264.OF,2015-05-06
001265.OF,2015-05-14
001270.OF,2015-05-07
001271.OF,2015-05-07
001272.OF,2015-05-07
001273.OF,2015-05-18
001274.OF,2015-05-18
001275.OF,2015-07-23
001276.OF,2015-05-26
001278.OF,2015-06-16
001279.OF,2015-05-20
001280.OF,2015-05-14
001281.OF,2015-05-18
001283.OF,2015-06-19
001284.OF,2015-06-19
001285.OF,2015-05-14
001286.OF,2015-05-14
001287.OF,2015-05-20
001289.OF,2015-05-14
001294.OF,2015-06-29
001295.OF,2015-05-15
001297.OF,2015-06-09
001298.OF,2015-06-02
001300.OF,2015-05-26
001301.OF,2015-05-26
001302.OF,2015-07-09
001303.OF,2015-05-21
001304.OF,2015-05-14
001305.OF,2015-06-10
001311.OF,2015-05-19
001312.OF,2015-05-29
001314.OF,2015-06-16
001315.OF,2015-06-16
001316.OF,2015-05-25
001318.OF,2015-05-26
001320.OF,2015-05-22
001321.OF,2015-05-21
001322.OF,2015-07-01
001323.OF,2015-05-27
001324.OF,2015-06-01
001325.OF,2015-05-25
001326.OF,2015-05-25
001327.OF,2015-05-25
001328.OF,2015-05-25
001329.OF,2015-05-25
001330.OF,2015-05-25
001331.OF,2015-05-25
001332.OF,2015-05-25
001333.OF,2015-05-22
001334.OF,2015-05-20
001335.OF,2015-05-21
001336.OF,2015-05-29
001337.OF,2015-05-29
001338.OF,2015-05-25
001339.OF,2015-05-25
001340.OF,2015-05-25
001341.OF,2015-05-25
001342.OF,2015-05-29
001343.OF,2015-05-29
001345.OF,2015-05-26
001347.OF,2015-05-26
001348.OF,2015-06-24
001352.OF,2015-06-26
001357.OF,2015-06-09
001359.OF,2015-06-02
001362.OF,2015-05-25
001365.OF,2015-07-08
001366.OF,2015-06-16
001367.OF,2015-06-19
001370.OF,2015-05-29
001371.OF,2015-06-24
001373.OF,2015-05-27
001376.OF,2015-06-09
001379.OF,2015-06-01
001380.OF,2015-05-25
001381.OF,2015-05-25
001384.OF,2015-06-25
001385.OF,2015-06-25
001387.OF,2015-11-17
001388.OF,2015-11-17
001389.OF,2015-10-20
001390.OF,2015-10-20
001392.OF,2015-06-09
001393.OF,2015-06-09
001394.OF,2015-05-29
001395.OF,2015-05-29
001398.OF,2015-06-18
001399.OF,2015-06-05
001400.OF,2015-06-05
001402.OF,2015-06-05
001405.OF,2015-06-05
001406.OF,2015-06-05
001407.OF,2015-06-08
001408.OF,2015-06-16
001411.OF,2015-06-18
001412.OF,2015-06-19
001413.OF,2015-06-12
001414.OF,2015-06-12
001415.OF,2015-06-11
001417.OF,2015-06-18
001418.OF,2015-06-16
001419.OF,2015-06-16
001422.OF,2015-06-15
001423.OF,2015-06-15
001424.OF,2015-06-24
001425.OF,2015-06-24
001427.OF,2015-06-11
001430.OF,2015-06-15
001431.OF,2015-06-25
001433.OF,2015-06-30
001437.OF,2015-06-26
001438.OF,2015-06-26
001443.OF,2015-12-02
001444.OF,2015-12-02
001445.OF,2015-06-29
001446.OF,2015-06-11
001447.OF,2015-06-10
001449.OF,2015-07-08
001453.OF,2015-06-18
001454.OF,2015-06-18
001456.OF,2015-08-04
001457.OF,2015-06-29
001464.OF,2015-06-11
001465.OF,2015-06-24
001466.OF,2015-06-15
001467.OF,2015-06-15
001468.OF,2015-07-27
001470.OF,2015-06-15
001471.OF,2015-06-29
001474.OF,2015-06-24
001479.OF,2016-01-27
001480.OF,2015-06-29
001484.OF,2015-06-19
001487.OF,2015-08-25
001488.OF,2015-06-19
001489.OF,2015-06-19
001491.OF,2015-06-19
001492.OF,2015-06-24
001493.OF,2015-06-24
001494.OF,2015-06-29
001499.OF,2015-06-19
001500.OF,2015-08-24
001501.OF,2015-11-17
001502.OF,2015-11-17
001503.OF,2015-06-18
001504.OF,2015-06-18
001505.OF,2015-06-18
001506.OF,2015-08-20
001507.OF,2015-11-19
001508.OF,2015-08-04
001510.OF,2015-08-04
001511.OF,2015-07-01
001515.OF,2015-06-16
001517.OF,2015-06-23
001518.OF,2015-07-23
001522.OF,2015-11-23
001523.OF,2015-11-23
001534.OF,2015-06-30
001535.OF,2015-09-01
001536.OF,2016-02-03
001537.OF,2015-08-13
001538.OF,2015-07-09
001540.OF,2015-07-27
001543.OF,2015-11-04
001547.OF,2015-07-08
001563.OF,2015-08-04
001564.OF,2015-07-31
001566.OF,2015-07-08
001567.OF,2015-07-08
001569.OF,2015-10-27
001570.OF,2015-11-19
001574.OF,2015-11-11
001580.OF,2015-11-19
001582.OF,2015-11-30
001584.OF,2015-11-17
001585.OF,2015-11-17
001597.OF,2015-11-17
001598.OF,2015-11-17
001601.OF,2015-07-15
001602.OF,2015-07-15
001604.OF,2016-02-03
001606.OF,2015-08-13
001607.OF,2015-12-02
001608.OF,2015-12-02
001609.OF,2015-07-28
001610.OF,2015-07-28
001620.OF,2015-07-13
001623.OF,2015-09-17
001635.OF,2015-12-07
001636.OF,2015-12-07
001639.OF,
001640.OF,
001650.OF,2015-10-27
001654.OF,2015-07-07
001662.OF,2015-08-24
001664.OF,2015-12-11
001665.OF,2015-12-11
001670.OF,2015-11-27
001671.OF,2015-11-27
001673.OF,2015-08-06
001674.OF,2015-08-06
001675.OF,2015-08-28
001676.OF,2015-08-28
001679.OF,2015-09-10
001681.OF,2015-12-21
001682.OF,2015-09-02
001683.OF,2015-07-13
001686.OF,2015-11-24
001687.OF,2015-11-24
001688.OF,2015-11-27
001694.OF,
001695.OF,2015-08-27
001701.OF,
001702.OF,2015-09-08
001708.OF,2015-09-08
001709.OF,2016-01-21
001712.OF,2015-09-08
001716.OF,2015-12-15
001723.OF,2015-09-17
001724.OF,2015-07-23
001727.OF,2015-07-23
001728.OF,2015-08-27
001729.OF,2015-11-16
001730.OF,2015-08-27
001734.OF,2015-11-18
001735.OF,2015-11-18
001737.OF,2016-02-03
001740.OF,2015-12-23
001741.OF,2015-09-14
001742.OF,2015-09-14
001753.OF,2015-09-23
001754.OF,2015-09-01
001755.OF,
001760.OF,2016-02-03
001761.OF,2015-12-30
001762.OF,2015-12-30
001763.OF,2015-12-09
001769.OF,2015-07-31
001772.OF,2015-07-31
001773.OF,2015-07-31
001774.OF,2015-07-31
001775.OF,2015-08-14
001777.OF,2016-01-27
001778.OF,2016-01-27
001795.OF,2015-12-23
001796.OF,2015-11-26
001797.OF,2015-09-02
001798.OF,2015-09-23
001799.OF,2015-09-23
001801.OF,2015-12-02
001802.OF,2016-02-04
001803.OF,2016-02-04
001808.OF,2015-11-18
001810.OF,2015-09-30
001815.OF,2015-10-28
001822.OF,2015-11-13
001823.OF,2015-11-11
001827.OF,
001829.OF,2016-01-27
001830.OF,2015-09-30
001834.OF,2015-09-01
001837.OF,2015-12-08
001838.OF,2015-12-02
001840.OF,2015-11-17
001841.OF,2015-11-17
001852.OF,2016-02-03
001861.OF,2015-11-25
001864.OF,
001865.OF,2015-10-26
001866.OF,2015-11-11
001869.OF,2015-12-02
001885.OF,2015-10-08
001887.OF,2015-09-22
001890.OF,2015-09-22
001891.OF,2015-09-22
001892.OF,2015-11-06
001897.OF,2015-11-10
001903.OF,2015-11-16
001904.OF,2015-11-16
001910.OF,2015-12-08
001924.OF,2015-11-25
001927.OF,2016-02-03
001928.OF,2016-02-03
001933.OF,2016-02-25
001939.OF,2015-11-17
001940.OF,2016-01-29
001951.OF,2015-12-02
001954.OF,
001959.OF,2015-12-18
001967.OF,2015-12-15
001970.OF,2016-02-04
001972.OF,2016-01-26
001979.OF,2015-12-23
001990.OF,2016-01-13
001997.OF,2015-12-15
002009.OF,2015-11-17
002010.OF,2015-11-17
002013.OF,2015-11-17
002014.OF,2015-11-17
002015.OF,2015-11-19
002016.OF,2015-11-19
002017.OF,2015-11-18
002018.OF,2015-11-24
002019.OF,2015-11-24
002020.OF,2015-12-28
002025.OF,2015-11-23
002026.OF,2015-11-23
002027.OF,2015-12-02
002028.OF,2015-11-14
002029.OF,2015-11-17
002030.OF,2015-11-16
002031.OF,2008-10-23
002035.OF,2015-11-18
002036.OF,2015-11-17
002039.OF,2015-11-17
002040.OF,2015-11-17
002041.OF,2015-11-27
002042.OF,2015-11-27
002043.OF,2015-11-12
002045.OF,2015-11-16
002046.OF,2015-11-25
002047.OF,2015-11-16
002049.OF,2015-11-17
002051.OF,2015-11-18
002052.OF,2015-11-18
002053.OF,2015-11-18
002054.OF,2015-11-19
002055.OF,2015-11-16
002056.OF,2015-11-19
002057.OF,2015-11-19
002058.OF,2015-11-19
002059.OF,2015-11-16
002060.OF,2015-11-13
002062.OF,2015-11-16
002063.OF,2015-11-16
002068.OF,2015-11-13
002071.OF,2015-11-16
002072.OF,2015-11-17
002075.OF,2015-11-17
002079.OF,2015-11-19
002080.OF,2015-11-16
002081.OF,2015-11-24
002082.OF,2015-11-19
002085.OF,2015-12-28
002087.OF,2015-11-19
002088.OF,2015-11-19
002091.OF,2015-11-19
002092.OF,2015-11-24
002093.OF,2015-11-24
002094.OF,2015-11-19
002095.OF,2016-02-04
002096.OF,2016-02-04
002097.OF,2015-12-02
002098.OF,2015-12-02
002101.OF,2015-11-19
002102.OF,2015-11-19
002103.OF,2016-02-04
002106.OF,2015-11-16
002107.OF,2015-12-29
002108.OF,2015-12-29
002110.OF,2015-11-23
002112.OF,2015-11-16
002113.OF,2015-11-16
002116.OF,2016-02-22
002117.OF,2016-02-22
002124.OF,2016-01-29
002132.OF,2016-01-15
002134.OF,
002141.OF,2015-11-19
002142.OF,2016-02-03
002144.OF,2015-11-18
002148.OF,2015-11-26
002149.OF,
002152.OF,2016-01-21
002156.OF,2015-12-11
002157.OF,2015-12-11
002158.OF,2015-11-26
002159.OF,2015-12-30
002160.OF,
002163.OF,2015-11-20
002165.OF,2015-12-02
002170.OF,2015-11-26
002172.OF,2015-12-17
002178.OF,2015-12-04
002182.OF,2015-12-23
002186.OF,2015-11-28
002207.OF,2015-12-02
002211.OF,
002212.OF,
002222.OF,
002223.OF,2015-12-25
002231.OF,2015-12-10
002232.OF,2015-12-10
002233.OF,2015-12-03
002237.OF,2015-12-03
002244.OF,
002250.OF,2016-01-26
002251.OF,
002252.OF,2015-12-11
002259.OF,2016-01-20
002261.OF,2016-02-04
002262.OF,2016-02-04
002263.OF,2016-02-23
002270.OF,2016-02-03
002272.OF,
002273.OF,2016-01-25
002290.OF,2015-12-17
002297.OF,2016-01-25
002301.OF,2016-02-03
002303.OF,
002313.OF,2016-01-25
002314.OF,2016-01-25
002330.OF,2016-02-03
002339.OF,2016-01-08
002360.OF,2016-01-18
002365.OF,2016-02-03
002366.OF,2016-02-03
002368.OF,2016-02-03
002369.OF,2016-02-03
002370.OF,2016-01-14
002371.OF,2016-01-14
002372.OF,2016-01-14
002373.OF,2016-01-14
002374.OF,2016-01-14
002375.OF,2016-01-14
002376.OF,2016-02-03
002383.OF,
002388.OF,2016-01-29
002408.OF,
002409.OF,2016-02-23
002410.OF,2016-02-23
002413.OF,2016-02-04
002414.OF,2016-02-04
002416.OF,2016-02-29
002417.OF,2016-02-29
002418.OF,2016-02-03
002441.OF,2016-02-17
002450.OF,
002451.OF,
002461.OF,
002462.OF,
002494.OF,
040015.OF,2009-12-22
050012.OF,2009-08-11
050022.OF,2011-11-08
070018.OF,2009-08-18
080002.OF,2008-06-04
080008.OF,2011-10-26
100029.OF,2008-05-28
110010.OF,2007-04-02
110012.OF,2008-10-09
121006.OF,2008-06-11
160220.OF,2013-12-30
160226.OF,2015-11-17
160624.OF,2013-12-23
160627.OF,2014-06-10
160812.OF,2014-04-04
160813.OF,2014-11-05
161219.OF,2011-12-13
161224.OF,2015-04-10
161722.OF,2015-04-17
162211.OF,2009-04-09
162414.OF,2015-06-11
163001.OF,2010-03-26
163402.OF,2005-11-03
163807.OF,2009-04-03
163809.OF,2010-02-11
163810.OF,2010-08-25
164205.OF,2015-05-07
165526.OF,2015-06-19
165527.OF,2015-12-07
166002.OF,2008-07-25
166019.OF,2013-05-14
166020.OF,2013-08-21
166301.OF,2015-05-14
166801.OF,2012-03-08
180018.OF,2009-04-27
180020.OF,2010-10-08
200001.OF,2003-10-31
200007.OF,2006-08-22
200011.OF,2009-06-30
202023.OF,2011-01-30
202027.OF,2012-09-25
206001.OF,2015-08-14
210001.OF,2003-06-16
210002.OF,2008-12-04
210007.OF,2015-07-09
210010.OF,2015-05-06
210011.OF,2015-05-06
213001.OF,2002-10-08
213006.OF,2009-03-17
217021.OF,2012-02-01
233008.OF,2010-12-03
240002.OF,2003-07-15
260103.OF,2003-10-24
270022.OF,2010-04-19
290005.OF,2008-06-25
290012.OF,2015-03-04
320006.OF,2008-05-20
320018.OF,2012-03-05
340008.OF,2009-03-25
350007.OF,2009-07-15
350009.OF,2011-12-28
360011.OF,2009-10-28
393001.OF,2015-07-01
398031.OF,2008-12-03
398051.OF,2010-12-09
400001.OF,2004-11-25
400015.OF,2011-12-28
400018.OF,2015-12-03
400022.OF,2013-07-17
400023.OF,2014-05-21
400025.OF,2014-09-03
410006.OF,2008-12-24
410007.OF,2009-07-15
420001.OF,2005-10-08
450010.OF,2011-08-02
470021.OF,2015-12-22
487021.OF,2016-02-19
501000.OF,2015-07-03
519003.OF,2004-03-12
519007.OF,2006-05-25
519029.OF,2006-08-09
519050.OF,2013-05-29
519066.OF,2008-07-08
519091.OF,2009-07-13
519113.OF,2009-06-04
519120.OF,2013-03-25
519125.OF,2013-12-04
519126.OF,2014-05-20
519127.OF,2014-06-26
519130.OF,2014-11-27
519132.OF,2016-01-29
519156.OF,2013-06-05
519157.OF,2015-08-01
519165.OF,2014-04-23
519170.OF,2015-03-12
519171.OF,2015-05-25
519172.OF,2016-02-03
519173.OF,2016-02-03
519176.OF,2016-01-21
519177.OF,2015-11-20
519183.OF,2008-06-27
519191.OF,2015-05-19
519196.OF,2016-01-26
519640.OF,2015-06-19
519641.OF,2015-06-19
519642.OF,
519644.OF,2015-12-17
519646.OF,2015-11-16
519647.OF,2015-11-16
519651.OF,2015-05-12
519652.OF,2015-04-22
519653.OF,2015-04-22
519655.OF,2015-04-22
519656.OF,2014-02-11
519657.OF,2014-02-11
519690.OF,2006-06-14
519697.OF,2009-01-21
519700.OF,2010-06-30
519710.OF,2015-06-27
519738.OF,2014-05-22
519752.OF,2015-05-15
519755.OF,2015-06-02
519756.OF,2015-06-10
519759.OF,2015-11-19
519760.OF,2015-11-19
519761.OF,2015-11-19
519764.OF,2016-02-17
519908.OF,2013-04-12
519909.OF,2014-05-12
519918.OF,2014-05-30
519951.OF,
519956.OF,2015-07-06
519957.OF,2015-07-06
519959.OF,2015-07-01
519960.OF,2015-11-30
519961.OF,2015-06-12
519962.OF,2015-11-30
519963.OF,2015-06-09
519969.OF,2015-02-11
519971.OF,2014-08-06
519991.OF,2008-06-19
530005.OF,2007-03-01
530012.OF,2014-01-23
530016.OF,2011-11-22
540003.OF,2007-04-09
560006.OF,2012-08-16
571002.OF,2008-11-05
580005.OF,2009-05-06
580009.OF,2013-01-30
590003.OF,2009-10-28
590006.OF,2011-05-10
610002.OF,2008-07-30
620002.OF,2008-09-03
630005.OF,2009-11-24
630008.OF,2010-11-09
630015.OF,2013-04-09
630016.OF,2013-03-18
673010.OF,2011-08-18
673020.OF,2015-06-02
673030.OF,2015-07-27
673040.OF,
673050.OF,2016-01-22
680001.OF,2015-05-04
690001.OF,2009-03-27
690009.OF,2012-08-09
690011.OF,2013-01-31
710002.OF,2012-04-25
720001.OF,2011-12-01
750001.OF,2012-06-20
750005.OF,2012-12-18
762001.OF,2012-08-28
770001.OF,2012-09-25
960004.OF,2015-07-02
960009.OF,2015-07-02
960017.OF,2015-12-07
