date,000749.OF,001495.OF,002001.OF,002021.OF,002162.OF,040001.OF,040004.OF,050001.OF,050007.OF,050201.OF,090001.OF,100016.OF,110001.OF,121002.OF,161605.OF,180001.OF,202002.OF,270001.OF,373010.OF,519654.OF,519732.OF,960002.OF
2001/12/21,,,,,,1.002,,,,,,,,,,,,,,,,
2001/12/28,,,,,,1.011,,,,,,,,,,,,,,,,
2002/1/4,,,,,,1.008,,,,,,,,,,,,,,,,
2002/1/11,,,,,,1.003,,,,,,,,,,,,,,,,
2002/1/18,,,,,,0.999,,,,,,,,,,,,,,,,
2002/1/25,,,,,,1.008,,,,,,,,,,,,,,,,
2002/2/1,,,,,,1.012,,,,,,,,,,,,,,,,
2002/2/8,,,,,,1.018,,,,,,,,,,,,,,,,
2002/2/15,,,,,,1.018,,,,,,,,,,,,,,,,
2002/2/22,,,,,,1.018,,,,,,,,,,,,,,,,
2002/3/1,,,,,,1.017,,,,,,,,,,,,,,,,
2002/3/8,,,,,,1.03,,,,,,,,,,,,,,,,
2002/3/15,,,,,,1.027,,,,,,,,,,,,,,,,
2002/3/22,,,,,,1.036,,,,,,,,,,,,,,,,
2002/3/29,,,,,,1.027,,,,,,,,,,,,,,,,
2002/4/5,,,,,,1.032,,,,,,,,,,,,,,,,
2002/4/12,,,,,,1.044,,,,,,,,,,,,,,,,
2002/4/19,,,,,,1.04,,,,,,,,,,,,,,,,
2002/4/26,,,,,,1.038,,,,,,,,,,,,,,,,
2002/5/3,,,,,,1.043,,,,,,,,,,,,,,,,
2002/5/10,,,,,,1.038,,,,,,,,,,,,,,,,
2002/5/17,,,,,,1.028,,,,,,,,,,,,,,,,
2002/5/24,,,,,,1.026,,,,,,,,,,,,,,,,
2002/5/31,,,,,,1.019,,,,,,,,,,,,,,,,
2002/6/7,,,,,,1.025,,,,,,,,,,,,,,,,
2002/6/14,,,,,,1.023,,,,,,,,,,,,,,,,
2002/6/21,,,,,,1.032,,,,,,,,,,,,,,,,
2002/6/28,,,,,,1.0729,,,,,,,,,,,,,,,,
2002/7/5,,,,,,1.0688,,,,,,,,,,,,,,,,
2002/7/12,,,,,,1.0606,,,,,,,,,,,,,,,,
2002/7/19,,,,,,1.0627,,,,,,,,,,,,,,,,
2002/7/26,,,,,,1.0443,,,,,,,,,,,,,,,,
2002/8/2,,,,,,1.0453,,,,,,,,,,,,,,,,
2002/8/9,,,,,,1.0371,,,,,,,,,,,,,,,,
2002/8/16,,,,,,1.0371,,,,,,,,,,,,,,,,
2002/8/23,,,,,,1.0504,,,,,,,,,,,,,,,,
2002/8/30,,,,,,1.0432,,,,,,0.9972,,,,,,,,,,
2002/9/6,,,,,,1.0279,,,,,,0.9878,,,,,,,,,,
2002/9/13,,,,,,1.0259,,,,,,0.9853,0.998,,,,,,,,,
2002/9/20,,,,,,1.0208,,,,,,0.9802,0.997,,,,,,,,,
2002/9/27,,,,,,1.0146,,,,,,0.9763,0.996,,,,,,,,,
2002/10/4,,,,,,1.0146,,,,,,0.9763,0.996,,,,,,,,,
2002/10/11,,,,,,0.9891,,,,,,0.9628,0.992,,,,,,,,,
2002/10/18,,,,,,0.984,,,,,,0.9606,0.992,,,,,,,,,
2002/10/25,,,,,,0.983,,,,,,0.9614,0.992,,,,,,,,,
2002/11/1,,,,,,0.983,,1.001,,,,0.958,0.992,,,,,,,,,
2002/11/8,,,,,,0.984,,1.003,,,,0.9596,0.993,,,,,,,,,
2002/11/15,,,,,,0.9686,,1.002,,,1,0.9479,0.989,,,,,,,,,
2002/11/22,,,,,,0.9462,,0.993,,,1,0.9307,0.982,,,1.0003,,,,,,
2002/11/29,,,,,,0.9574,,1,,,1.0001,0.9389,0.986,,,1.0005,,,,,,
2002/12/6,,,,,,0.9482,,0.996,,,1.0001,0.9329,0.983,,,1.0005,,,,,,
2002/12/13,,,,,,0.9462,,0.994,,,0.9998,0.9308,0.982,,,1.0005,,,,,,
2002/12/20,,,,,,0.9554,,0.999,,,1.0021,0.9381,0.986,,,1.0011,,,,,,
2002/12/27,,,,,,0.9441,,0.986,,,0.9986,0.9272,0.979,,,1.0013,,,,,,
2003/1/3,,,,,,0.9114,,0.962,,,0.9933,0.909,0.965,,,1.0014,,,,,,
2003/1/10,,,,,,0.936,,0.982,,,1.0037,0.9267,0.978,,,1.0034,,,,,,
2003/1/17,,,,,,0.9676,,1.022,,,1.0212,0.9511,1.003,,,1.0041,,,,,,
2003/1/24,,,,,,0.9666,,1.027,,,1.0119,0.9512,1.003,,,1.0028,,,,,,
2003/1/31,,,,,,0.9768,,1.041,,,1.0274,0.9577,1.011,,,1.0048,,,,,,
2003/2/7,,,,,,0.9768,,1.041,,,1.0274,0.9577,1.011,,,1.0048,,,,,,
2003/2/14,,,,,,0.9799,,1.044,,,1.0243,0.9602,1.01,,,1.0057,,,,,,
2003/2/21,,,,,,0.9727,,1.039,,,1.0145,0.9547,0.998,,,1.0038,,,,,,
2003/2/28,,,,,,0.986,,1.058,,,1.0195,0.9618,1.012,,,1.0062,,,,,,
2003/3/7,,,,,,0.985,,1.062,,,1.016,0.9591,1.008,,,1.0063,,,,,,
2003/3/14,,,,,,0.9778,,1.065,,,1.0068,0.9554,0.999,,,1.005,,,,,,
2003/3/21,,,,,,0.9819,,1.072,,,1.0097,0.9582,1.008,,,1.0053,,,,,,
2003/3/28,,,,,,0.9922,,1.085,,,1.0234,0.9627,1.02,,,1.0123,,,,,,
2003/4/4,,,,,,1.0034,,1.113,,,1.0347,0.9695,1.035,,,1.0253,,,,,,
2003/4/11,,,,,,1.0392,,1.163,,,1.0811,0.9961,1.071,,,1.0742,,,,,,
2003/4/18,,,,,,1.0555,,1.209,,,1.1103,1.0023,1.083,,,1.1082,,,,,,
2003/4/25,,,,,,0.9973,,1.13,,,1.055,0.9587,1.026,,,1.0333,,,,,,
2003/5/2,,,,,,1.0259,,1.192,,,1.1045,0.9878,1.064,,,1.0764,,,,,,
2003/5/9,,,,,,1.0259,,1.192,,,1.1045,0.9878,1.064,,,1.0764,,,,,,
2003/5/16,,,,,,1.0443,,1.227,,,1.1361,1.0083,1.0887,,,1.1193,,,,,,
2003/5/23,,,,,,1.0504,,1.2487,,,1.1476,1.0165,1.0927,,,1.1433,,,,,,
2003/5/30,,,,,,1.0463,,1.2518,,,1.1349,1.0143,1.0948,,,1.1263,,,,,,
2003/6/6,,,,,,1.0289,,1.2177,,,1.1104,0.9931,1.0764,,,1.0849,,,,,,
2003/6/13,,,,,,1.0412,,1.228,,,1.1139,1.0063,1.0866,,,1.0731,,,,,,
2003/6/20,,,,,,1.0248,,1.2126,,,1.0951,0.9866,1.0632,,,1.0568,,,,,,
2003/6/27,,,,,,1.0165,,1.1909,,,1.0875,0.9782,1.053,,,1.0415,,,,,,
2003/7/4,,,,,,1.0259,,1.228,,,1.1049,0.994,1.0623,,,1.0737,,,,,,
2003/7/11,,,,,,1.0405,,1.2569,,,1.1258,1.009,1.0779,,,1.0813,,,,,,
2003/7/18,,,,,,1.0384,,1.2642,,,1.1343,1.0074,1.079,,,1.0764,,,,,,
2003/7/25,,,,,,1.028,,1.2301,,,1.109,0.9959,1.0644,,,1.0523,,,,,,
2003/8/1,,,,,,1.0363,,1.2414,,,1.1095,1.0037,1.0738,,,1.0555,,,,,,
2003/8/8,,,,,,1.0311,,1.226,,,1.106,0.9951,1.0655,,,1.0503,,,,,,
2003/8/15,,,,,,1.0165,,1.2019,,,1.0884,0.9774,1.0509,,,1.0351,,,,,,
2003/8/22,,,,,,1.0144,,1.1944,,,1.0837,0.9718,1.0499,,,1.0252,,,,,,
2003/8/29,,,,,,1.0103,,1.1998,,,1.0728,0.9705,1.0436,,,1.0287,,,,,,
2003/9/5,,,,,,1.0124,,1.1998,,,1.074,0.9686,1.0415,,,1.0252,,,,,,
2003/9/12,,,,,,1.002,,1.1857,,,1.0648,0.9636,1.0312,,,1.0155,,,,,,
2003/9/19,,,,,,0.9884,,1.1728,,,1.0486,0.9526,1.0228,,,1.0047,,,,,,
2003/9/26,,,,,,0.9739,,1.1576,,,1.0386,0.9407,1.0124,,,0.9935,,,,,,
2003/10/3,,,,,,0.977,,1.1587,,,1.0376,0.9436,1.0145,,,0.999,,,,,,
2003/10/10,,,,,,0.9936,,1.1868,,,1.0544,0.9588,1.0301,,,1.0218,,,,,,
2003/10/17,,,,,,0.9811,,1.1684,,,1.0391,0.9504,1.0218,,,1.0111,,,,,,
2003/10/24,,,0.996,,,0.9988,,1.2041,,,1.057,0.9672,1.0353,,,1.0304,,,,,,
2003/10/31,,,1.002,,,1.0051,,1.2182,,,1.0675,0.9729,1.0457,,1.001,1.038,,,,,,
2003/11/7,,,1.007,,,1.0165,,1.2246,,,1.0746,0.9802,1.0519,,1.001,1.0525,,,,,,
2003/11/14,,,1.004,,,1.0144,,1.2138,,,1.0623,0.9782,1.0488,,1.002,1.0477,,,,,,
2003/11/21,,,1.012,,,1.0165,,1.2203,,,1.0759,0.9811,1.0519,,1.008,1.0522,,,,,,
2003/11/28,,,1.02,,,1.03,,1.243,,,1.0824,0.9956,1.0717,,1.011,1.072,,,,,,
2003/12/5,,,1.035,,,1.0571,,1.2798,,,1.1103,1.0236,1.106,,1.019,1.1021,,,,,,
2003/12/12,,,1.052,,,1.0623,,1.27,,,1.123,1.0294,1.1257,,1.023,1.1,,,,,,
2003/12/19,,,1.063,,,1.0779,,1.2765,,,1.1361,1.0508,1.1372,,1.022,1.1222,,,,,,
2003/12/26,,,1.0946,,,1.1102,,1.3262,,,1.185,1.0827,1.1901,,1.0571,1.1666,,,,,,
2004/1/2,,,1.0926,,,1.1102,,1.3284,,,1.1888,1.0887,1.1891,,1.0561,1.1618,,1.0328,,,,
2004/1/9,,,1.1415,,,1.1601,,1.3914,,,1.2536,1.1421,1.2388,,1.1125,1.2429,,1.0612,,,,
2004/1/16,,,1.1456,,,1.1757,,1.4201,,,1.2698,1.1493,1.2568,,1.1407,1.2491,,1.0618,,,,
2004/1/23,,,1.1456,,,1.1757,,1.4201,,,1.2698,1.1493,1.2568,,1.1407,1.2491,,1.0618,,,,
2004/1/30,,,1.1339,,,1.1528,,1.4035,,,1.2553,1.1308,1.2388,,1.1649,1.2264,,1.0414,,,,
2004/2/6,,,1.167,,,1.184,,1.4378,,,1.2881,1.154,1.2716,,1.2078,1.2791,,1.0763,,,,
2004/2/13,,,1.1484,,,1.1684,,1.4356,,,1.2795,1.1458,1.2547,,1.2047,1.2587,,1.0572,,,,
2004/2/20,,,1.1616,,,1.1996,,1.4676,,,1.3038,1.1802,1.2791,,1.2173,1.316,,1.0721,,,,
2004/2/27,,,1.1489,,,1.1944,,1.4654,,,1.2928,1.1768,1.2579,,1.1878,1.3313,,1.0602,,,,
2004/3/5,,,1.1363,,,1.1788,,1.4499,,,1.2853,1.1653,1.2536,,1.1693,1.3185,,1.0584,,,,
2004/3/12,,,1.1732,,,1.2198,,1.4809,,,1.3179,1.1865,1.2833,,1.1813,1.3485,,1.0879,,,,
2004/3/19,,,1.2063,,,1.2479,,1.5107,,,1.3428,1.2105,1.3182,,1.2064,1.3774,,1.1153,,,,
2004/3/26,,,1.1977,,,1.2263,,1.5096,,,1.3325,1.2032,1.3214,,1.2075,1.3607,,1.1195,,,,
2004/4/2,,,1.216,,,1.2414,,1.5395,,,1.3512,1.2206,1.3542,,1.2282,1.3733,,1.1486,,,,
2004/4/9,,,1.1993,,,1.2166,,1.5174,,,1.3426,1.2172,1.3458,,1.2151,1.3521,,1.1475,,,,
2004/4/16,,,1.1839,,,1.2015,,1.4953,,,1.3195,1.1981,1.3299,,1.1955,1.3259,,1.1288,,,,
2004/4/23,,,1.1526,,,1.1724,,1.4555,,,1.2943,1.173,1.2928,,1.1624,1.2827,,1.0921,,,,
2004/4/30,,,1.1459,,,1.1476,,1.4168,,,1.2723,1.1525,1.2727,,1.1591,1.2434,,1.0759,,,,
2004/5/7,,,1.1459,,,1.1476,,1.4168,,,1.2723,1.1525,1.2727,,1.1591,1.2434,,1.0759,,,,
2004/5/14,,,1.1125,,,1.1184,,1.3748,,,1.2379,1.1392,1.2547,,1.1305,1.2051,,1.0509,,,,
2004/5/21,,,1.1047,,,1.106,,1.3637,,,1.2314,1.135,1.2356,,1.1239,1.1914,,1.0376,,,,
2004/5/28,,,1.1136,,,1.1184,,1.3693,,,1.2394,1.1425,1.2484,,1.1327,1.1987,,1.0483,,,,
2004/6/4,,,1.1047,,,1.1139,,1.3626,,,1.2285,1.1345,1.2494,,1.1371,1.1916,,1.0514,,,,
2004/6/11,,,1.0746,,,1.0878,,1.3211,,,1.2061,1.1108,1.2277,,1.0996,1.1656,,1.0297,,,,
2004/6/18,,,1.0534,,,1.0584,,1.2713,,,1.186,1.0863,1.2016,,1.0776,1.1402,,1.012,,,,
2004/6/25,,,1.0322,,,1.0448,,1.2498,,,1.1747,1.0823,1.1983,,1.0666,1.1332,,0.9973,,,,
2004/7/2,,,1.0668,,,1.0776,,1.2962,,,1.2124,1.0917,1.2331,,1.061,1.1625,,1.0287,,,,
2004/7/9,,,1.069,,,1.0788,,1.286,,,1.2114,1.0897,1.2342,0.9558,1.0588,1.1589,,1.0341,,,,
2004/7/16,,,1.1047,,,1.1026,,1.3166,,,1.2446,1.1061,1.2744,0.9668,1.0776,1.1915,,1.0752,,,,
2004/7/23,,,1.0891,,,1.0776,,1.2735,,,1.2092,1.0909,1.2614,0.9581,1.0644,1.1725,,1.0673,,,,
2004/7/30,,,1.079,,,1.0708,,1.2588,,,1.1939,1.0893,1.257,0.9555,1.061,1.1615,,1.0581,,,,
2004/8/6,,,1.0634,,,1.0674,,1.2701,,,1.1825,1.0834,1.2462,0.9494,1.0577,1.1486,,1.0441,,,,
2004/8/13,,,1.0735,,,1.0708,,1.2758,,,1.1892,1.0793,1.2527,0.9488,1.0467,1.1544,,1.0545,,,,
2004/8/20,,,1.0757,,,1.0731,,1.2803,,,1.1949,1.0682,1.2483,0.9491,1.0346,1.1569,,1.0508,,,,
2004/8/27,,,1.0545,,,1.055,,1.2498,,,1.1735,1.0641,1.2201,0.9389,1.0236,1.1335,,1.0306,,,,
2004/9/3,,,1.0467,,,1.0482,,1.243,,,1.1644,1.0618,1.2146,0.9378,1.0291,1.1291,,1.0201,,,,
2004/9/10,,,1.0289,,,1.03,1.004,1.2067,,,1.1455,1.0458,1.2005,0.9302,1.0181,1.1144,,1.0072,,,,
2004/9/17,,,1.0902,,,1.0946,1.006,1.3132,,,1.2093,1.1019,1.2722,0.9597,1.0544,1.1783,,1.0635,,,,
2004/9/24,,,1.1024,,,1.1184,1.012,1.3483,,,1.2315,1.1166,1.3095,0.9752,1.0666,1.1956,,1.1009,,,,
2004/10/1,,,1.1024,,,1.1173,1.011,1.3268,,,1.229,1.1116,1.315,0.9833,1.0633,1.2052,,1.1161,,,,
2004/10/8,,,1.1158,,,1.132,1.014,1.3415,,,1.2436,1.1236,1.3393,0.9997,1.0688,1.229,,1.1455,,,,
2004/10/15,,,1.0868,,,1.0833,1.003,1.2645,,,1.1977,1.0845,1.3006,0.9677,1.05,1.1825,,1.1052,,,,
2004/10/22,,,1.1036,,,1.0958,1.014,1.3041,,,1.2213,1.0986,1.3271,0.9892,1.0555,1.2016,,1.154,,,,
2004/10/29,,,1.0969,,,1.0765,1.013,1.2543,,,1.205,1.1015,1.3128,0.9828,1.0566,1.1725,,1.1493,,,,
2004/11/5,,,1.079,,,1.0731,1.006,1.2407,,,1.1883,1.0898,1.294,0.9668,1.0511,1.1492,,1.1191,,,,
2004/11/12,,,1.1036,,,1.0992,1.022,1.2792,,,1.2226,1.1163,1.3183,0.9839,1.0699,1.1719,,1.1505,,,,
2004/11/19,,,1.1136,,,1.1173,1.029,1.3041,,,1.2324,1.1341,1.3284,0.9917,1.0831,1.1909,,1.1617,,,,
2004/11/26,,,1.1002,,,1.0992,1.017,1.2701,,,1.215,1.1193,1.3101,0.9775,1.071,1.1739,,1.142,,,,
2004/12/3,,,1.0868,,,1.081,1.007,1.2498,,,1.1942,1.1022,1.2906,0.9604,1.0622,1.1562,,1.1177,,,,
2004/12/10,,,1.0868,,,1.0844,1.007,1.2554,,,1.1929,1.0974,1.2895,0.9552,1.0544,1.1603,,1.1122,,,,
2004/12/17,,,1.0824,,,1.0776,1.001,1.235,,,1.181,1.0865,1.2849,0.9508,1.0456,1.1527,,1.1053,,,,
2004/12/24,,,1.0779,,,1.0686,0.995,1.2169,,,1.1747,1.0826,1.2758,0.9453,1.0379,1.1473,,1.084,,,,
2004/12/31,,,1.0879,,,1.0776,1.002,1.218,,,1.1806,1.0855,1.2769,0.9494,1.0412,1.1563,,1.0971,,,,
2005/1/7,,,1.0801,,,1.0436,0.997,1.175,,,1.1555,1.0696,1.2563,0.9411,1.0203,1.1392,,1.0825,,,,
2005/1/14,,,1.0846,,,1.0527,0.999,1.1818,,,1.1609,1.0687,1.2655,0.9461,1.0225,1.1493,,1.0956,,,,
2005/1/21,,,1.0801,,,1.0425,0.991,1.1818,,,1.1538,1.0552,1.2563,0.935,1.0236,1.1497,,1.0883,,,,
2005/1/28,,,1.0857,,,1.0459,0.997,1.1738,,,1.1519,1.05,1.2678,0.9376,1.0192,1.1591,,1.0995,,,,
2005/2/4,,,1.1303,,,1.0969,1.021,1.2622,,,1.2115,1.0916,1.3238,0.9646,1.0577,1.2134,,1.1448,,,,
2005/2/11,,,1.1303,,,1.0969,1.021,1.2622,,,1.2115,1.0916,1.3238,0.9646,1.0577,1.2134,,1.1448,,,,
2005/2/18,,,1.1136,,,1.0856,1.015,1.2316,,,1.1929,1.0767,1.3066,0.9533,1.0434,1.1938,,1.132,,,,
2005/2/25,,,1.137,,,1.1094,1.032,1.2735,,,1.2198,1.0978,1.3318,0.9726,1.0776,1.2234,,1.1626,,,,
2005/3/4,,,1.1203,,,1.0992,1.027,1.2362,,,1.2009,1.0821,1.3192,0.9691,1.0588,1.2066,,1.1626,,,,
2005/3/11,,,1.1359,,,1.1184,1.053,1.2407,,,1.2127,1.0819,1.3478,0.9933,1.0544,1.2469,,1.1986,,,,
2005/3/18,,,1.118,,,1.1037,1.04,1.1863,,,1.1833,1.0609,1.3306,0.9823,1.0324,1.2164,,1.18,,,,
2005/3/25,,,1.1169,,,1.106,1.049,1.1852,,,1.1792,1.0668,1.3284,0.9849,1.0181,1.2014,,1.1791,,,,
2005/4/1,,,1.1392,,,1.1388,1.072,1.2033,,,1.1999,1.0841,1.3547,0.9993,1.0324,1.2293,,1.216,,,,
2005/4/8,,,1.1816,,,1.1762,1.106,1.226,,,1.2282,1.0948,1.3821,1.0213,1.0555,1.2718,,1.2556,,,,
2005/4/15,,,1.1559,,,1.1626,1.094,1.2056,,,1.2043,1.0807,1.3615,0.9931,1.0313,1.2434,,1.2249,,,,
2005/4/22,,,1.1537,,,1.1547,1.094,1.1863,,,1.1924,1.0696,1.3444,0.9968,1.0247,1.2377,,1.2197,,,,
2005/4/29,,,1.1693,,,1.157,1.0971,1.1976,,,1.2043,1.0738,1.3479,1.0028,1.028,1.252,,1.2257,,,,
2005/5/6,,,1.1693,,,1.157,1.0971,1.1976,,,1.2043,1.0738,1.3479,1.0028,1.028,1.252,,1.2257,,,,
2005/5/13,,,1.0958,,,1.0867,1.0431,1.133,,,1.1479,1.0223,1.2781,0.9532,0.9751,1.1753,,1.154,,,,
2005/5/20,,,1.0935,,,1.0674,1.0319,1.1195,,,1.1524,1.0216,1.2688,0.9453,0.9619,1.1676,,1.1345,,,,
2005/5/27,,,1.0434,,,1.0108,0.9881,1.0855,,,1.1116,0.9778,1.2199,0.909,0.9277,1.1357,,1.083,,,,
2005/6/3,,,1.0155,,,0.97,0.9585,1.0481,,,1.0867,0.9424,1.185,0.8795,0.8848,1.1042,,1.0393,,,,
2005/6/10,,,1.0846,,,1.0527,1.0197,1.1217,,,1.1577,1.0073,1.2571,0.9327,0.952,1.1459,,1.1189,,,,
2005/6/17,,,1.0779,,,1.0267,1.0064,1.107,,,1.152,1.004,1.2595,0.9222,0.9299,1.1447,,1.105,,,,
2005/6/24,,,1.1024,,,1.064,1.04,1.133,,,1.1775,1.0218,1.2862,0.9371,0.9476,1.1617,,1.1414,,,,
2005/7/1,,,1.0768,,,1.0516,1.0268,1.1025,,,1.1551,0.9964,1.2659,0.9219,0.9299,1.1371,,1.12,,,,
2005/7/8,,,1.059,,,1.0323,1.0156,1.0809,,,1.1446,0.9826,1.2492,0.9131,0.9123,1.1187,,1.1069,,,,
2005/7/15,,,1.0768,,,1.0527,1.0268,1.0979,,,1.1661,0.9936,1.2659,0.9285,0.9465,1.1405,,1.1256,,,,
2005/7/22,,,1.0902,,,1.064,1.037,1.1262,,,1.1801,1.0042,1.2814,0.9357,0.9553,1.1469,,1.1342,,,,
2005/7/29,,,1.1058,,,1.0788,1.0482,1.1602,,,1.2008,1.0223,1.3018,0.9508,0.9817,1.171,,1.1525,,,,
2005/8/5,,,1.1236,,,1.1071,1.0706,1.1976,,,1.2236,1.0399,1.3304,0.9638,1.0236,1.1964,,1.1821,,,,
2005/8/12,,,1.1236,,,1.1037,1.0757,1.2044,,,1.2326,1.0515,1.3352,0.9726,1.0456,1.2202,,1.186,,,,
2005/8/19,,,1.1158,,,1.0878,1.0706,1.1818,,,1.2256,1.0454,1.3233,0.9705,1.0324,1.2077,,1.1745,,,,
2005/8/26,,,1.1192,,,1.089,1.0767,1.1818,,,1.2258,1.0524,1.3245,0.98,1.0379,1.2145,,1.1775,,,,
2005/9/2,,,1.1415,,,1.1094,1.0961,1.1988,,,1.2453,1.0641,1.3412,1.0033,1.05,1.234,,1.1979,,,,
2005/9/9,,,1.1426,,,1.1139,1.0991,1.2112,,,1.2406,1.0728,1.3496,1.0049,1.0555,1.2384,,1.203,,,,
2005/9/16,,,1.1559,,,1.1298,1.1154,1.2192,,,1.2477,1.088,1.3579,1.0079,1.0677,1.261,,1.2231,,,,
2005/9/23,,,1.1281,,,1.0969,1.0818,1.1795,,,1.2093,1.0507,1.3257,0.9857,1.0489,1.2281,,1.1817,,,,
2005/9/30,,,1.1459,,,1.1116,1.0952,1.1852,,,1.2174,1.0647,1.3316,0.9998,1.0677,1.2501,,1.1996,,,,
2005/10/7,,,1.1459,,,1.1116,1.0952,1.1852,,,1.2174,1.0647,1.3316,0.9998,1.0677,1.2501,,1.1996,,,,
2005/10/14,,,1.1403,,,1.0992,1.091,1.1818,,,1.1986,1.0769,1.3269,1.0072,1.0831,1.2439,,1.1923,,,,
2005/10/21,,,1.1392,,,1.1173,1.1025,1.1886,,,1.198,1.0835,1.3209,1.0092,1.0963,1.2448,,1.2038,,,,
2005/10/28,,,1.1169,,,1.0912,1.0763,1.1534,,,1.1725,1.0701,1.3006,0.9887,1.0699,1.2179,,1.1752,,,,
2005/11/4,,,1.1102,,,1.0878,1.0722,1.1591,,,1.1798,1.0395,1.2957,0.9897,1.082,1.211,,1.169,,,,
2005/11/11,,,1.1125,,,1.0867,1.0743,1.1602,,,1.1677,1.0363,1.2847,0.9873,1.0853,1.2024,,1.1712,,,,
2005/11/18,,,1.0958,,,1.081,1.0732,1.175,,,1.1763,1.0349,1.2872,0.9726,1.0809,1.1953,,1.171,,,,
2005/11/25,,,1.1013,,,1.089,1.0753,1.1716,,,1.1806,1.0322,1.2957,0.9696,1.0655,1.2028,,1.1796,,,,
2005/12/2,,,1.079,,,1.0754,1.0617,1.1682,,,1.165,1.022,1.2726,0.9552,1.0622,1.1813,,1.1546,,,,
2005/12/9,,,1.0857,,,1.0935,1.0753,1.2056,,,1.1827,1.0239,1.2933,0.9626,1.0743,1.1964,,1.1672,,,,
2005/12/16,,,1.1036,,,1.106,1.0889,1.226,,,1.194,1.0308,1.3127,0.9778,1.0842,1.2057,,1.1866,,,,
2005/12/23,,,1.1225,,,1.1286,1.1088,1.2396,,,1.2109,1.042,1.331,0.9928,1.1029,1.2279,,1.2168,,,,
2005/12/30,,,1.147,,,1.1479,1.1298,1.2622,,,1.2401,1.0577,1.3481,1.0169,1.136,1.2596,,1.2435,,,,
2006/1/6,,,1.1794,,,1.1921,1.1686,1.3007,,,1.3005,1.0882,1.4089,1.0452,1.1635,1.3137,,1.2987,,,,
2006/1/13,,,1.1927,,,1.1864,1.178,1.303,,,1.292,1.1053,1.4126,1.0433,1.1712,1.3252,,1.3092,,,,
2006/1/20,,,1.1983,,,1.2,1.1937,1.3121,,,1.3151,1.1271,1.4089,1.0509,1.1922,1.3502,,1.3249,,,,
2006/1/27,,,1.2173,,,1.2238,1.2126,1.3268,,,1.3285,1.1228,1.4284,1.0737,1.2164,1.3894,,1.349,,,,
2006/2/3,,,1.2173,,,1.2238,1.2126,1.3268,,,1.3285,1.1228,1.4284,1.0737,1.2164,1.3894,,1.349,,,,
2006/2/10,,,1.2145,,,1.2306,1.2126,1.3676,,,1.3577,1.1278,1.4479,1.0798,1.2131,1.3974,,1.3659,,,,
2006/2/17,,,1.2122,,,1.234,1.1958,1.3597,,,1.3486,1.1284,1.4552,1.0725,1.1933,1.3776,,1.3641,,,,
